name,mecanisme,modele,normalite,centroid,mfcc_mean,chroma_mean,tempo,zcr
00000000.wav,fan,id_00,abnormal,977.7237603589349,-7.784754,0.37057343,133.92857142857142,0.033508885782747605
00000001.wav,fan,id_00,abnormal,1025.5428445540679,-7.41639,0.3409989,104.16666666666667,0.03417812749600639
00000002.wav,fan,id_00,abnormal,1023.5512590268858,-7.348944,0.48907328,98.6842105263158,0.03055735822683706
00000003.wav,fan,id_00,abnormal,1019.2197476063046,-7.246174,0.392168,104.16666666666667,0.0329894044528754
00000004.wav,fan,id_00,abnormal,864.240526430085,-7.5706196,0.46825978,110.29411764705883,0.026764988518370607
00000005.wav,fan,id_00,abnormal,832.6266922412161,-7.434884,0.47606164,125.0,0.022836898462460065
00000006.wav,fan,id_00,abnormal,875.7340708762611,-7.351075,0.47267783,133.92857142857142,0.024548222843450478
00000007.wav,fan,id_00,abnormal,846.3213019275283,-7.4465275,0.47323605,98.6842105263158,0.02593350638977636
00000008.wav,fan,id_00,abnormal,953.1634096228142,-7.2919793,0.46813598,98.6842105263158,0.034153167432108625
00000009.wav,fan,id_00,abnormal,821.760404880947,-7.697064,0.4756268,110.29411764705883,0.027933431509584664
00000010.wav,fan,id_00,abnormal,663.706675875292,-7.954998,0.4715634,104.16666666666667,0.01898836861022364
00000011.wav,fan,id_00,abnormal,863.0395416459312,-7.7794356,0.41238317,104.16666666666667,0.026828948682108625
00000012.wav,fan,id_00,abnormal,1027.9065973127524,-7.895929,0.36146992,125.0,0.035237370207667734
00000013.wav,fan,id_00,abnormal,1084.373149636343,-7.580379,0.3739398,98.6842105263158,0.038524298622204474
00000014.wav,fan,id_00,abnormal,1041.2794481130356,-7.8171597,0.37819117,125.0,0.03846501847044728
00000015.wav,fan,id_00,abnormal,926.4625358013756,-7.657607,0.47643992,110.29411764705883,0.031565120806709264
00000016.wav,fan,id_00,abnormal,1387.7270887183142,-7.134586,0.5030328,125.0,0.04381895217651757
00000017.wav,fan,id_00,abnormal,1099.8074234336411,-7.820844,0.36159253,117.1875,0.04082998452476038
00000018.wav,fan,id_00,abnormal,779.142324692417,-8.077466,0.49528244,133.92857142857142,0.02881483376597444
00000019.wav,fan,id_00,abnormal,935.5082071049376,-7.743358,0.4883698,93.75,0.030994159345047925
00000020.wav,fan,id_00,abnormal,940.6861454290643,-7.567831,0.5126197,110.29411764705883,0.03195512180511182
00000021.wav,fan,id_00,abnormal,1082.3154086310974,-7.6202693,0.42102477,133.92857142857142,0.037756776657348244
00000022.wav,fan,id_00,abnormal,1050.2431136481591,-7.8168807,0.369249,110.29411764705883,0.03531069039536741
00000023.wav,fan,id_00,abnormal,1194.127559241294,-7.318829,0.477543,104.16666666666667,0.04446323382587859
00000024.wav,fan,id_00,abnormal,923.642106189959,-7.606382,0.47057027,110.29411764705883,0.029563635682907347
